UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPE_AREA,SHAPE_LEN
WAYKCN,YAKIMA COUNTY FD,COWICHE MILL,102,2010-07-18,2010-07-19,6190.6972946,2010,MISCELLANEOUS,269665695.487,79784.9450003
WASPA,SPOKANE AGENCY,LINE,005629,2010-07-12,2010-07-15,909.85577433,2010,MISCELLANEOUS,39633158.9969,50876.4601009
WANCP,NORTH CASCADES NP,DEVILS GULCH,298,2010-07-29,2010-08-02,36.63409036,2010,LIGHTNING,1595774.59312,7120.94253629
WANCP,NORTH CASCADES NP,NAHAHUM,346,2010-07-29,2010-08-02,1947.45079312,2010,LIGHTNING,84830617.2248,64413.3836782
WANCP,NORTH CASCADES NP,TRIPP CANYON,346,2010-07-29,2010-08-02,71.54657712,2010,LIGHTNING,3116556.43295,7583.75126872
WA,UNKNOWN,EXCELSIOR ROAD,UNKNOWN,1987-01-01,1987-01-01,1255.68839052,1987,UNKNOWN,54697567.5,52648.1172331
WA,UNKNOWN,SALNAVE,UNKNOWN,1991-08-01,1991-08-01,463.60812165,1991,UNKNOWN,20194689.0,24364.8285854
WA,UNKNOWN,SPRINGDALE,UNKNOWN,1991-08-01,1991-08-01,628.65719782,1991,UNKNOWN,27384198.0,32241.2868189
WAWFS,WA FIRE SERVICE,BROWNS CANYON FIRE (BADGER MTN COMPLEX),902,2008-07-09,2008-07-14,1782.34822885,2008,MISCELLANEOUS,77638778.2928,45355.9500436
WAWFS,WA FIRE SERVICE,BAIRD SPRINGS,812,2008-06-15,2008-06-16,3645.75496607,2008,UNKNOWN,158808451.086,67348.1266189
WACOA,COLVILLE AGENCY,COLUMBIA RIVER ROAD,205,2008-08-07,2008-08-13,22155.09265476,2008,ARSON,965071975.742,224055.507505
WACOA,COLVILLE AGENCY,FRENCH VALLEY,165,2008-07-10,2008-07-13,1366.42475276,2008,UNKNOWN,59521224.1448,49252.6725406
WANES,WA DNR - NE REGION,GREEN LAKE,595,2008-07-31,2008-08-01,1350.32718303,2008,STRUCTURE FIRE,58820016.8118,36273.664337
WAMCR,MID COLUMBIA NWR,INCIDENT 262,0061,2008-07-27,2008-07-27,3142.16921166,2008,UNKNOWN,136872343.369,54149.8108887
WAOWF,OKAN-WEN NF,JACK CREEK,481,2008-08-10,2008-08-19,1057.71002699,2008,LIGHTNING,46073664.4805,38594.3378765
WANES,WA DNR - NE REGION,JACKASS BUTTE (RATTLESNAKE POINT COMPLEX),193,2008-07-01,2008-07-04,1765.70079189,2008,LIGHTNING,76913618.8395,43888.456592
WANES,WA DNR - NE REGION,RATTLESNAKE POINT COMPLEX,193,2008-07-01,2008-07-01,752.53378316,2008,UNKNOWN,32780240.4732,29932.4283814
WAWFS,WA FIRE SERVICE,ROCK LAKE,910,2008-08-18,2008-08-19,2287.50288034,2008,UNKNOWN,99643226.8936,86207.5327182
WAWFS,WA FIRE SERVICE,SEEP LAKES,813,2008-06-29,2008-06-30,1901.06872278,2008,MISCELLANEOUS,82810222.3223,66657.0701259
WANES,WA DNR - NE REGION,SPOKANE VALLEY,378,2008-07-10,2008-07-13,1005.79276005,2008,UNKNOWN,43812157.3787,35497.9154127
WANES,WA DNR - NE REGION,SWANSON LAKE,866,2008-08-18,2008-08-26,18038.73104031,2008,UNKNOWN,785763981.05,335668.382661
WACOA,COLVILLE AGENCY,WILMONT,180,2008-07-13,2008-07-14,148.8113823,2008,LIGHTNING,6482197.88391,15159.9642761
WAYAA,BIA - YAKIMA,RANSIER ROAD,UNKNOWN,2009-06-29,2009-06-29,354.17699465,2009,UNKNOWN,15427888.1753,25521.0507909
WASES,WA DNR - SE REGION,FORREST,UNKNOWN,2009-07-11,2009-07-12,255.38194915,2009,UNKNOWN,11124393.2073,20636.5269555
WAHNC,HANFORD,ENW,UNKNOWN,2009-07-17,2009-07-17,3.22583479,2009,UNKNOWN,140516.801483,1402.2479238
WACOA,COLVILLE AGENCY,FISH HATCHERY,UNKNOWN,2009-07-23,2009-07-25,237.13494544,2009,LIGHTNING,10329556.9051,17026.8751184
WACOA,COLVILLE AGENCY,OWHI TREE,UNKNOWN,2009-07-23,2009-07-25,10.45928908,2009,LIGHTNING,455604.809773,2886.58198515
WACOA,COLVILLE AGENCY,JOHNSON LAKE,165,2009-07-23,2009-07-25,711.99459944,2009,LIGHTNING,31014360.6939,34222.1710172
WAMSF,MT. BAKER-SNOQ NF,DEER 1,UNKNOWN,2009-07-30,2009-08-05,0.53222827,2009,UNKNOWN,23183.7707145,949.116346489
WAWFS,WA FIRE SERVICE,UNION VALLEY,UNKNOWN,2009-07-29,2009-08-01,524.69205564,2009,LIGHTNING,22855494.5216,28426.7301425
WAGPF,GIFFORD PINCHOT NF,LANGILLE,UNKNOWN,2009-07-27,2009-08-02,471.01319057,2009,UNKNOWN,20517252.5118,21911.4394813
WAWFS,WA FIRE SERVICE,MILEPOST 31,208,2012-06-13,2012-06-14,1127.69544198,2012,UNKNOWN,49122216.9631,52351.1518469
WASES,WA DNR - SE REGION,EUREKA,106,2010-08-06,2010-08-08,20835.47526597,2010,UNKNOWN,907589672.216,187472.678415
WAOWF,OKAN-WEN NF,BOULDER CREEK,444,2010-08-04,2010-08-10,10100.76006235,2010,UNKNOWN,439987348.361,96227.9480806
WAOLP,OLYMPIC NP,HOPPER,010,2010-08-05,2010-08-18,385.06521319,2010,LIGHTNING,16773373.593,26620.8502837
WANES,WA DNR - NE REGION,FISH HATCHERY,707,2010-08-26,2010-08-29,646.51561266,2010,POWER LINE,28162107.4388,42404.4032398
WASES,WA DNR - SE REGION,HIWAY 8 FIRE,00543,2010-08-26,2010-08-30,2018.38353788,2010,POWER LINE,87920435.2272,65856.0258396
WANES,WA DNR - NE REGION,SLIDE CREEK,711,2010-08-26,2010-08-27,990.42358019,2010,POWER LINE,43142678.582,42841.177156
WACOA,COLVILLE AGENCY,BUFFALO LAKE,163,2010-08-27,2010-08-28,407.94807233,2010,ARSON,17770146.9499,24818.0412278
WASES,WA DNR - SE REGION,BAIRD SPRINGS,110,2010-09-10,2010-09-11,7668.88221653,2010,UNKNOWN,334055173.127,106482.1663
WAHNC,HANFORD,FFTF,0742,2010-08-01,2010-08-01,1266.00595102,2010,UNKNOWN,55146998.6376,50930.8147402
WAPCS,WA DNR - PC REGION,HILLTOP,0052,2010-08-14,2010-08-14,133.99953977,2010,UNKNOWN,5836996.60436,15023.7282164
WAPCS,WA DNR - PC REGION,SPEELYAI,035,2010-07-24,2010-07-26,122.54881002,2010,UNKNOWN,5338204.81139,11525.5971631
WAWFS,WA FIRE SERVICE,VANSYCLE CANYON,202,2011-08-07,2011-08-07,4509.45682982,2011,UNKNOWN,196431153.78,108330.326824
WAOWF,OKAN-WEN NF,TUMWATER CANYON,323,2011-08-18,2011-08-21,458.11336064,2011,MISCELLANEOUS,19955338.168,23488.1933338
WANES,WA DNR - NE REGION,SALMON,662,2011-08-29,2011-08-31,1979.07434739,2011,MISCELLANEOUS,86208133.7386,54805.7513961
WAOLP,OLYMPIC NP,BIG HUMP,124,2011-09-01,2011-09-16,1238.08228311,2011,UNKNOWN,53930648.529,58802.7344397
WAWFS,WA FIRE SERVICE,WISHRAM II,409,2011-08-29,2011-08-29,9064.45533217,2011,UNKNOWN,394846094.88,124948.952539
WASES,WA DNR - SE REGION,MONASTERY COMPLEX,428,2011-09-07,2011-09-14,3621.14474022,2011,MISCELLANEOUS,157736433.936,98638.8410203
WANES,WA DNR - NE REGION,BARBER MOUNTAIN,786,2011-09-19,2011-09-19,814.61351612,2011,UNKNOWN,35484422.8241,23137.6000842
WACOA,COLVILLE AGENCY,KWEI KWEI CREEK,085,2011-08-06,2011-08-10,625.77331179,2011,UNKNOWN,27258576.4271,26846.515046
