LAT,LON,PLOT,INVYR,STATECD,UNITCD,COUNTYCD
46.535534,-119.853227,"96437","2004","53","9","5"
46.58832,-119.747103,"54879","2002","53","9","5"
46.494732,-119.80571,"91206","2005","53","9","5"
46.467092,-119.622963,"50877","2005","53","9","5"
46.565716,-120.093675,"68555","2002","53","8","77"
46.443185,-120.038177,"54087","2003","53","8","77"
46.468193,-119.691347,"88736","2003","53","9","5"
46.477795,-120.222925,"58770","2003","53","8","77"
46.538774,-119.908289,"65563","2005","53","8","77"
46.394504,-119.559077,"64348","2002","53","9","5"
46.495882,-119.868068,"65795","2003","53","9","5"
46.424658,-119.724142,"68364","2002","53","9","5"
46.44767,-119.968623,"67640","2005","53","8","77"
46.458606,-119.908185,"54796","2007","53","8","77"
46.489771,-120.097479,"56026","2007","53","8","77"
46.520493,-120.055097,"50219","2008","53","8","77"
46.577951,-119.875793,"51697","2008","53","8","77"
46.434641,-120.175627,"92699","2009","53","8","77"
46.502468,-119.732056,"98421","2007","53","9","5"
46.617425,-119.9239,"58550","2007","53","8","77"
46.575129,-120.020919,"91136","2004","53","8","77"
46.522084,-120.192713,"77657","2004","53","8","77"
46.567697,-119.955086,"72646","2006","53","8","77"
46.490226,-120.0121,"97230","2009","53","8","77"
46.51402,-119.669268,"59715","2009","53","9","5"
46.463455,-119.830257,"64083","2009","53","9","5"
46.416065,-119.862092,"71330","2008","53","9","5"
46.436751,-119.519833,"96823","2008","53","9","5"
46.548323,-119.707843,"99398","2011","53","9","5"
46.594443,-120.202188,"54866","2009","53","8","77"
46.620802,-119.858762,"87407","2009","53","9","5"
46.521782,-120.111589,"51928","2006","53","8","77"
46.543128,-119.773416,"72283","2006","53","9","5"
46.596509,-120.138757,"96450","2011","53","8","77"
46.439028,-120.116685,"88632","2011","53","8","77"
46.424658,-119.724142,"68364","2012","53","9","5"
46.394504,-119.559077,"64348","2012","53","9","5"
46.44767,-119.968623,"67640","2015","53","8","77"
46.586752,-119.820276,"87686","2010","53","9","5"
46.562762,-120.168157,"96820","2010","53","8","77"
46.575129,-120.020919,"91136","2014","53","8","77"
46.58832,-119.747103,"54879","2012","53","9","5"
46.565716,-120.093675,"68555","2012","53","8","77"
46.621209,-119.786632,"94010","2011","53","9","5"
46.494472,-119.945313,"56277","2011","53","8","77"
46.464188,-119.769036,"75627","2011","53","9","5"
46.532911,-119.984601,"86167","2010","53","8","77"
46.467092,-119.622963,"50877","2015","53","9","5"
46.477795,-120.222925,"58770","2013","53","8","77"
46.535534,-119.853227,"96437","2014","53","9","5"
