field_1,LAT,LON,PLOT,UNQE_FIRE_,FEATURE_CA,GIS_ACRES,FIRE_YEAR_
"15299",46.132973000000000,-117.366716999999994,"54844",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15300",46.159253999999997,-117.399471000000005,"97007",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15468",46.234983000000000,-117.356161999999998,"82332",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"15594",46.187719999999999,-117.431359000000000,"96825",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17261",46.256171000000002,-117.389060999999998,"95091",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17770",46.180140000000002,-117.359078999999994,"99493",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17868",46.160550000000001,-117.499105999999998,"90645",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17875",46.161152000000001,-117.372033000000002,"66680",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"17883",46.232427000000001,-117.340339999999998,"58179",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"18044",46.208250000000000,-117.394476999999995,"88961",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"18465",46.192019000000002,-117.470861999999997,"79869",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"18704",46.302846000000002,-117.290602000000007,"92058",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"18763",46.257449000000001,-117.468044000000006,"62872",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"18851",46.190559000000000,-117.538139000000001,"54408",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"19084",46.237955999999997,-117.497928000000002,"67181",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"19886",46.211897000000000,-117.508967999999996,"52155",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"20126",46.211075999999998,-117.438393000000005,"69681",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"21879",46.290432000000003,-117.323775999999995,"10",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"21880",46.207653000000001,-117.347954000000001,"12",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"21933",46.271824000000002,-117.467124999999996,"6",2021-ORUMF-000658,Wildfire Final Fire Perimeter,80436.809999999997672,"2021"
"2845",46.065058999999998,-117.411469999999994,"75416",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"6965",46.065058999999998,-117.411469999999994,"75416",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"7719",46.036186999999998,-117.351180999999997,"95933",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"10568",46.089886999999997,-117.408698000000001,"92505",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"17814",46.089886999999997,-117.408698000000001,"92505",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"19415",46.036186999999998,-117.351180999999997,"95933",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"21887",46.062378000000002,-117.336555000000004,"24",1970-ORUMF-000177,Wildfire Final Fire Perimeter,46.000000000000000,"1970"
"386",46.035680999999997,-117.007450000000006,"77621",2012-ORWWF-000032,Wildfire Final Fire Perimeter,73563.300000000002910,"2012"
"5218",46.033181999999996,-116.945060999999995,"68604",2012-ORWWF-000032,Wildfire Final Fire Perimeter,73563.300000000002910,"2012"
"10886",46.035680999999997,-117.007450000000006,"77621",2012-ORWWF-000032,Wildfire Final Fire Perimeter,73563.300000000002910,"2012"
"20247",46.033181999999996,-116.945060999999995,"68604",2012-ORWWF-000032,Wildfire Final Fire Perimeter,73563.300000000002910,"2012"
"21891",46.059879000000002,-116.997375000000005,"31",2012-ORWWF-000032,Wildfire Final Fire Perimeter,73563.300000000002910,"2012"
"1579",46.386747999999997,-117.273062999999993,"75032",1997-UNK-000000,Wildfire,8446.309999999999491,"1997"
"2183",46.396016000000003,-117.258481000000003,"98632",1997-UNK-000000,Wildfire,8446.309999999999491,"1997"
"9052",46.386747999999997,-117.273062999999993,"75032",1997-UNK-000000,Wildfire,8446.309999999999491,"1997"
"12123",46.396016000000003,-117.258481000000003,"98632",1997-UNK-000000,Wildfire,8446.309999999999491,"1997"
"6744",46.859250000000003,-117.285202999999996,"51805",2006-WAWFS-000000,Wildfire,654.519999999999982,"2006"
"12347",46.859250000000003,-117.285202999999996,"51805",2006-WAWFS-000000,Wildfire,654.519999999999982,"2006"
"8212",46.557813000000003,-118.103640999999996,"74765",2022-WASPD-000199,Wildfire Final Fire Perimeter,460.220000000000027,"2022"
"19215",46.557813000000003,-118.103640999999996,"74765",2022-WASPD-000199,Wildfire Final Fire Perimeter,460.220000000000027,"2022"
"4040",46.060647000000003,-118.991808000000006,"76469",2007-WAWFS-002399,Wildfire,7037.800000000000182,"2007"
"19257",46.060647000000003,-118.991808000000006,"76469",2007-WAWFS-002399,Wildfire,7037.800000000000182,"2007"
"4039",46.010089999999998,-119.147345999999999,"59537",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"7290",45.969946999999998,-119.108155999999994,"79817",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"7405",46.044708999999997,-119.205663000000001,"60751",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"8418",46.046582999999998,-119.252018000000007,"80744",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"16196",46.044708999999997,-119.205663000000001,"60751",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"16924",45.969946999999998,-119.108155999999994,"79817",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"18293",46.046582999999998,-119.252018000000007,"80744",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"19258",46.010089999999998,-119.147345999999999,"59537",1990-UNK-000000,Wildfire,24855.689999999998690,"1990"
"10683",45.974767999999997,-119.039550000000006,"63439",2015-WASPD-500267,Wildfire,865.620000000000005,"2015"
"19750",45.974767999999997,-119.039550000000006,"63439",2015-WASPD-500267,Wildfire,865.620000000000005,"2015"
"4043",46.171968000000000,-119.177395000000004,"51729",2018-WAWFS-000530,Wildfire,4998.560000000000400,"2018"
"8871",46.137903000000001,-119.117282000000003,"75221",2018-WAWFS-000530,Wildfire,4998.560000000000400,"2018"
"16599",46.171968000000000,-119.177395000000004,"51729",2018-WAWFS-000530,Wildfire,4998.560000000000400,"2018"
"16923",46.137903000000001,-119.117282000000003,"75221",2018-WAWFS-000530,Wildfire,4998.560000000000400,"2018"
"5372",46.026535000000003,-118.928853000000004,"69058",2015-WAMNR-J3J1,Wildfire,8960.299999999999272,"2015"
"14086",46.026535000000003,-118.928853000000004,"69058",2015-WAMNR-J3J1,Wildfire,8960.299999999999272,"2015"
"385",46.589621000000001,-119.673524000000000,"98214",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"504",46.588320000000003,-119.747102999999996,"54879",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"4238",46.577950999999999,-119.875793000000002,"51697",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"5763",46.617424999999997,-119.923900000000003,"58550",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"8210",46.620801999999998,-119.858761999999999,"87407",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"10677",46.586751999999997,-119.820276000000007,"87686",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"10917",46.588320000000003,-119.747102999999996,"54879",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"11009",46.621209000000000,-119.786631999999997,"94010",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"13510",46.589621000000001,-119.673524000000000,"98214",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"14982",46.621209000000000,-119.786631999999997,"94010",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"15181",46.586751999999997,-119.820276000000007,"87686",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"18301",46.620801999999998,-119.858761999999999,"87407",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"19253",46.617424999999997,-119.923900000000003,"58550",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"19705",46.577950999999999,-119.875793000000002,"51697",1996-UNK-000000,Wildfire,19940.959999999999127,"1996"
"3365",46.358373999999998,-119.431180999999995,"76708",2007-WAWFS-001772,Wildfire,753.039999999999964,"2007"
"14263",46.358373999999998,-119.431180999999995,"76708",2007-WAWFS-001772,Wildfire,753.039999999999964,"2007"
"1035",46.610968999999997,-119.327039999999997,"90579",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"5185",46.694664000000003,-119.411996000000002,"52447",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"5584",46.647514999999999,-119.364018999999999,"50849",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"7768",46.727857000000000,-119.456991000000002,"55773",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"12093",46.647514999999999,-119.364018999999999,"50849",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"12369",46.610968999999997,-119.327039999999997,"90579",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"17970",46.727857000000000,-119.456991000000002,"55773",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"18951",46.694664000000003,-119.411996000000002,"52447",2007-WAWFS-000802,Wildfire,19569.130000000001019,"2007"
"406",46.429729000000002,-119.655316999999997,"80280",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"588",46.494731999999999,-119.805710000000005,"91206",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"589",46.467092000000001,-119.622962999999999,"50877",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"922",46.468192999999999,-119.691346999999993,"88736",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"1714",46.394503999999998,-119.559077000000002,"64348",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"2902",46.424658000000001,-119.724142000000001,"68364",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"5161",46.502468000000000,-119.732056000000000,"98421",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"6652",46.514020000000002,-119.669268000000002,"59715",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"7398",46.548323000000003,-119.707842999999997,"99398",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"8491",46.543128000000003,-119.773415999999997,"72283",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"10375",46.424658000000001,-119.724142000000001,"68364",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"10376",46.394503999999998,-119.559077000000002,"64348",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"11342",46.464188000000000,-119.769036000000000,"75627",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"11775",46.467092000000001,-119.622962999999999,"50877",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"12309",46.468192999999999,-119.691346999999993,"88736",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"12867",46.494731999999999,-119.805710000000005,"91206",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"13490",46.429729000000002,-119.655316999999997,"80280",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"14760",46.464188000000000,-119.769036000000000,"75627",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"14937",46.548323000000003,-119.707842999999997,"99398",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"16621",46.502468000000000,-119.732056000000000,"98421",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"17946",46.543128000000003,-119.773415999999997,"72283",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"18295",46.514020000000002,-119.669268000000002,"59715",2007-WAMCR-070084,Wildfire,18615.900000000001455,"2007"
"6885",46.436751000000001,-119.519833000000006,"96823",2007-WAMCR-070082,Wildfire,6453.229999999999563,"2007"
"16929",46.436751000000001,-119.519833000000006,"96823",2007-WAMCR-070082,Wildfire,6453.229999999999563,"2007"
"6494",46.355662000000002,-119.500604999999993,"79780",1987-UNK-000000,Wildfire,1513.640000000000100,"1987"
"13207",46.355662000000002,-119.500604999999993,"79780",1987-UNK-000000,Wildfire,1513.640000000000100,"1987"
"407",46.535533999999998,-119.853227000000004,"96437",1982-UNK-006853,Wildfire,2776.519999999999982,"1982"
"12128",46.535533999999998,-119.853227000000004,"96437",1982-UNK-006853,Wildfire,2776.519999999999982,"1982"
"5984",46.567697000000003,-119.955085999999994,"72646",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"19570",46.567697000000003,-119.955085999999994,"72646",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"2213",46.495882000000002,-119.868067999999994,"65795",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
